logFC	logCPM	F	PValue	FDR
Zm00001eb239760	2.4956005523929	5.35295730064331	2660.38139743623	4.71478319598760e-11	7.19490487887851e-09
Zm00001eb140590	2.75252688929567	5.35419205674446	2659.25510360254	4.7224502003112e-11	7.19490487887851e-09
Zm00001eb250740	2.4737525043142	6.38644499149803	2656.88111924485	4.73866210964649e-11	7.19490487887851e-09
Zm00001eb260290	5.95936282739293	4.52920449109177	2654.02647823767	4.7582493872052e-11	7.19490487887851e-09
Zm00001eb302570	4.05056560324993	7.03738143902214	2649.62912414278	4.78862211528159e-11	7.19490487887851e-09
Zm00001eb302560	4.05078122300567	7.03758511291293	2648.34128360039	4.797563505325e-11	7.19490487887851e-09
Zm00001eb013450	3.52178291666796	6.9626806530399	2642.39453554131	4.83912527220198e-11	7.19490487887851e-09
Zm00001eb074930	2.92228714276031	7.59607448646673	2636.595079435	4.88009548405552e-11	7.19490487887851e-09
Zm00001eb089470	3.32793920160137	4.87713274451571	2636.45573148296	4.88108527258535e-11	7.19490487887851e-09
Zm00001eb190430	2.71772345669976	6.68539902900165	2634.17235485412	4.8973401853825e-11	7.19490487887851e-09
Zm00001eb295770	3.22489608990385	7.14347121693801	2625.46795458672	4.95993419185325e-11	7.19490487887851e-09
Zm00001eb029480	2.49285743496943	5.93188717854844	2617.81509474073	5.01580129386417e-11	7.19490487887851e-09
Zm00001eb268400	3.59149732183766	6.74876324059397	2609.29445523615	5.07893945779701e-11	7.19490487887851e-09
Zm00001eb395330	5.72822200877094	6.47625823270766	2608.92607751336	5.08169166499879e-11	7.19490487887851e-09
Zm00001eb326660	3.79506083139439	5.50195152152023	2608.76183033709	5.08291938684024e-11	7.19490487887851e-09
Zm00001eb044500	2.78788255168442	7.65531033674227	2607.37923162956	5.09326892285863e-11	7.19490487887851e-09
Zm00001eb327670	3.84519044589325	4.14928632722641	2598.69064962167	5.15891923485979e-11	7.19490487887851e-09
Zm00001eb110240	3.6552403172837	8.73716795988008	2598.3822325591	5.16126914941113e-11	7.19490487887851e-09
Zm00001eb404600	2.93666998815581	6.07996332819913	2598.34334520301	5.16156553862308e-11	7.19490487887851e-09
Zm00001eb337280	3.54274375520878	7.58008294615681	2597.77660911857	5.16588748678986e-11	7.19490487887851e-09
Zm00001eb337290	3.54274375520878	7.58008294615681	2597.77660911857	5.16588748678986e-11	7.19490487887851e-09
Zm00001eb295760	3.23017521010302	7.14842695310146	2588.66344837507	5.23601506150207e-11	7.2566525980443e-09
Zm00001eb353710	4.48983570998426	5.63470453071346	2583.90325948853	5.27312266463467e-11	7.26274382857457e-09
Zm00001eb046870	2.69412650407088	5.59272936297372	2580.76922528788	5.29773473107146e-11	7.26274382857457e-09
Zm00001eb105970	3.5113360992951	6.51932979013347	2578.22080517968	5.31785465517296e-11	7.26274382857457e-09
Zm00001eb206220	3.57888381601514	6.66923451243466	2570.3512303195	5.3805961355817e-11	7.31293196514277e-09
Zm00001eb046880	2.69035896049392	5.58946071129794	2559.85662468725	5.4657246729839e-11	7.32676939399995e-09
Zm00001eb205600	2.99258205149591	4.76078387538332	2558.87920682632	5.47373925340945e-11	7.32676939399995e-09
Zm00001eb314770	5.59303557439558	7.47266450017463	2557.02173941434	5.48901086788039e-11	7.32676939399995e-09
Zm00001eb332500	3.64369487168239	7.01554079977305	2553.17440479086	5.52081378708524e-11	7.32676939399995e-09
Zm00001eb020630	7.3239763018403	2.81715750478926	2553.1532575453	5.52098923554414e-11	7.32676939399995e-09
Zm00001eb149810	6.02894473306635	5.85825912577327	2542.49482099728	5.61031845781666e-11	7.41036147850769e-09
Zm00001eb440730	3.34494733672057	6.42942718371438	2501.57130752043	5.97069621917803e-11	7.84792156917277e-09
Zm00001eb023680	2.68363632654011	4.69494385273831	2498.31167258407	6.00063888008037e-11	7.84792156917277e-09
Zm00001eb326420	2.78185173257024	5.9777692912046	2495.64497752771	6.02527567690808e-11	7.84792156917277e-09
Zm00001eb158620	3.94312575954993	5.81380633605839	2484.3398753171	6.13114661516621e-11	7.94901745949706e-09
Zm00001eb366740	3.2164465516862	4.32641236561684	2478.04737081832	6.19109117428006e-11	7.98991555491721e-09
Zm00001eb222230	5.32622040752531	5.36531727887493	2466.64016728249	6.30165520812515e-11	8.09546884134214e-09
Zm00001eb006630	5.06240232161213	4.36963661922331	2459.21815156528	6.37493079744936e-11	8.11668699079249e-09
Zm00001eb419490	3.12741308938641	6.4917474737172	2459.12351939895	6.37587198750672e-11	8.11668699079249e-09
Zm00001eb312700	2.87687848033926	5.58983159020699	2452.88759944906	6.4382808170588e-11	8.15216202967728e-09
Zm00001eb254040	2.32093679765564	6.11301848572958	2450.37492301849	6.46364503174463e-11	8.15216202967728e-09
Zm00001eb285670	3.29808366114879	4.79431879592326	2447.71164008837	6.49066714526093e-11	8.15216202967728e-09
Zm00001eb220050	2.76138814751089	7.04430074452212	2438.03833572569	6.59001945804533e-11	8.24016033033988e-09
Zm00001eb404610	3.02144607062904	6.1550557793688	2423.82057777805	6.73955125248644e-11	8.38984667864838e-09
Zm00001eb319700	2.94986464560242	4.86727225728447	2420.39031830704	6.7762664940849e-11	8.39839125747068e-09
Zm00001eb250960	2.54786070850936	6.1568763649409	2411.20373414949	6.87584235975504e-11	8.45537156579775e-09
Zm00001eb115140	4.17234939953923	4.54034406350336	2410.6092840543	6.88234907431465e-11	8.45537156579775e-09
Zm00001eb401500	5.97879699450428	4.47189176596372	2405.12377090651	6.94275988701078e-11	8.4925046374418e-09
Zm00001eb168570	5.77788874368668	5.73518987782381	2401.50989413527	6.98292409595948e-11	8.50465742492311e-09
Zm00001eb348760	2.72260435664565	5.10332146748194	2395.09990190855	7.05488686192084e-11	8.5552666798828e-09
Zm00001eb401290	3.48660988948852	4.68616350745567	2384.46050173854	7.17640698006949e-11	8.66528042820923e-09
Zm00001eb008070	2.5646391227435	5.1603151174548	2376.24802827733	7.27201545875904e-11	8.74320012464644e-09
Zm00001eb100800	4.61798077033528	4.02308820722451	2370.74854108714	7.33693801245677e-11	8.7837197464876e-09
Zm00001eb417170	7.61853883829657	3.3036694072024	2365.5802838544	7.39861731592034e-11	8.80104534412884e-09
Zm00001eb062800	3.31044258499108	7.57155197914128	2364.30185720993	7.41397507129642e-11	8.80104534412884e-09
Zm00001eb172970	4.01347313631654	8.44358425302499	2358.78700554924	7.48068725867415e-11	8.80785433516139e-09
Zm00001eb311060	6.22959310923286	5.93006983543788	2358.65243728494	7.48232454007099e-11	8.80785433516139e-09
Zm00001eb348950	3.21731018395474	4.6051159414704	2353.52489378205	7.54504872549163e-11	8.84468336845756e-09
Zm00001eb426670	2.78866076832202	6.13524745660476	2348.56299308879	7.60637866310618e-11	8.87385384247683e-09
Zm00001eb358990	3.54267682831397	4.86740472593526	2345.35155040435	7.64640767796106e-11	8.87385384247683e-09
Zm00001eb000940	4.49137216690051	4.27303786697	2342.29143800407	7.68479769022879e-11	8.87385384247683e-09
Zm00001eb354950	3.0386191065049	5.53978944223414	2341.39430898178	7.6960984487252e-11	8.87385384247683e-09
Zm00001eb081620	3.39112517835818	4.61951003539911	2335.65143511016	7.76893722671029e-11	8.92127673209254e-09
Zm00001eb213780	2.27370712223967	5.32738185613514	2330.67157976465	7.83280280196938e-11	8.95805178986206e-09
Zm00001eb110040	4.95761715801196	4.58437009543421	2318.86273379309	7.98691371360473e-11	9.09732106957715e-09
Zm00001eb260460	2.87181222324514	7.22952234813789	2308.78095532799	8.12151975285821e-11	9.21334019060132e-09
