logFC	logCPM	F	PValue	FDR
Zm00001eb254900	-1.73673333422486	6.76959377643774	1110.70293365564	1.84590504724552e-24	6.00195061830673e-22
Zm00001eb011900	2.23162803214651	5.79023156833959	1110.5074166715	1.85045124168015e-24	6.00195061830673e-22
Zm00001eb005020	-2.32287355020379	5.04770933428559	1102.69301798134	2.04232951051902e-24	6.53938199041188e-22
Zm00001eb011880	2.14179039481886	6.63811266138177	1095.64514538582	2.23370473510568e-24	7.061617184717e-22
Zm00001eb081030	-1.61254731693202	7.72742996425571	1067.77555665586	3.20093879464622e-24	9.99293079953617e-22
Zm00001eb185300	-3.7350623765798	4.03760829134284	1066.80901585695	3.24165934212655e-24	9.99511630489021e-22
Zm00001eb060050	1.56440735662401	7.28548302128688	1048.01134955615	4.15445660997015e-24	1.26533602236591e-21
Zm00001eb011890	2.15150379138684	5.81277551393129	1045.68018225857	4.28555773927546e-24	1.28953981371572e-21
Zm00001eb235330	-4.98227118026482	3.81050806978948	1037.08152767059	4.80875049031164e-24	1.42974456542301e-21
Zm00001eb316870	2.13124849648873	5.86052222662212	1035.91255237967	4.88499624782027e-24	1.43532683869778e-21
Zm00001eb120700	-1.30664684050448	9.55781458038484	1021.68582465681	5.92404587817615e-24	1.72038425357499e-21
Zm00001eb270270	-2.26449375521372	4.97299148715938	1018.01431725501	6.22898518424777e-24	1.78814833306423e-21
Zm00001eb025460	-2.35659514606222	5.42572089007207	1009.14591837664	7.03702477094842e-24	1.99715560970951e-21
Zm00001eb361620	-2.47659783965091	5.16539505172148	1007.08053908863	7.24087129585045e-24	2.02683590845074e-21
Zm00001eb239170	-1.59645646142008	7.32931673185009	1006.45437041555	7.30391318360626e-24	2.02683590845074e-21
Zm00001eb343680	-1.70202306944368	6.55059365448936	1004.58544396626	7.49559132765918e-24	2.03835080053678e-21
Zm00001eb209560	-1.61762595541149	7.16768457566231	1003.29140029836	7.63145839613515e-24	2.03835080053678e-21
Zm00001eb209570	-1.61762595541149	7.16768457566231	1003.29140029836	7.63145839613515e-24	2.03835080053678e-21
Zm00001eb006020	-1.26863740791728	9.89525676309752	1002.91124992571	7.67187088089919e-24	2.03835080053678e-21
Zm00001eb062510	-1.38862609719924	7.86389719869171	996.271760000059	8.41587989505302e-24	2.21249053030473e-21
Zm00001eb395370	4.04784819510043	4.28889945520702	965.245003009405	1.30758869812485e-23	3.40177372246542e-21
Zm00001eb067590	-3.38161200759817	4.61654667330729	961.144717879273	1.38741960179646e-23	3.5722478922543e-21
Zm00001eb244600	-1.87048202986778	5.50845087948331	960.004782267169	1.41052872367629e-23	3.5946892728383e-21
Zm00001eb306350	-2.69804534002949	4.60503449627452	953.548966811398	1.54941609559764e-23	3.90875424116677e-21
Zm00001eb418560	-3.32765842988349	4.68205408764186	951.657361242266	1.59283052144494e-23	3.97809422730874e-21
Zm00001eb272550	-1.68383523928777	6.13066985747753	941.031001914978	1.8621883580866e-23	4.60476774685276e-21
Zm00001eb184000	1.27995796690947	9.04563883657757	939.552306665764	1.90337641645616e-23	4.66047313735221e-21
Zm00001eb065630	-1.31462123898431	8.37282886388852	936.686733304427	1.98599570414394e-23	4.78272531489691e-21
Zm00001eb130870	-1.37209822634377	7.84712644352686	935.852753632528	2.01075538764435e-23	4.78272531489691e-21
Zm00001eb130880	-1.37209822634377	7.84712644352686	935.852753632528	2.01075538764435e-23	4.78272531489691e-21
Zm00001eb088830	-1.36762876289034	7.16853555001624	928.017958593373	2.26015844871911e-23	5.32523181667544e-21
Zm00001eb107230	-1.77524751610763	5.55863663975197	922.15653651531	2.46832011477332e-23	5.76133596882839e-21
Zm00001eb236430	-1.28295356052697	8.24162699107203	919.261549750677	2.57861661443548e-23	5.94460058206334e-21
Zm00001eb013430	-3.14706407484314	4.28852949659086	918.857114184657	2.59444029407369e-23	5.94460058206334e-21
Zm00001eb225670	-2.23842065662325	5.04011320772814	916.481841296426	2.68949523076977e-23	6.10637667167955e-21
Zm00001eb151670	-2.69758537937621	4.45470232725346	914.159374864714	2.78604751404704e-23	6.26860690660583e-21
Zm00001eb162960	-2.29950165494529	4.90566637378637	910.211994357142	2.95876304405605e-23	6.59777741297321e-21
Zm00001eb008360	1.67558997903441	7.22455695420348	908.699130700163	3.02796372014466e-23	6.69233574430203e-21
Zm00001eb149490	-1.22744274593555	10.3757643507995	907.1492798709	3.10065509372557e-23	6.77053338292203e-21
Zm00001eb333330	-1.71403525372889	5.68089306601074	906.794360324017	3.1175629190632e-23	6.77053338292203e-21
Zm00001eb051060	-2.23060293488281	5.02814547816126	905.865088191231	3.16230099025535e-23	6.80848855445063e-21
Zm00001eb157610	-1.37641804323333	7.08771386702265	902.09469821705	3.3509920811019e-23	7.14723877734428e-21
Zm00001eb346150	-1.42760194313143	8.02468091369062	901.595316792132	3.37687357648298e-23	7.14723877734428e-21
Zm00001eb411300	-2.50442081509712	6.08355894590966	890.473789866757	4.01235010453942e-23	8.4208776353674e-21
Zm00001eb162710	-3.33844346402238	3.96466267640094	889.522531777128	4.07235786440134e-23	8.4755948052853e-21
Zm00001eb054100	-2.83215347177292	4.37228552281772	887.008049693978	4.2356492534086e-23	8.74259009122973e-21
Zm00001eb077230	-1.29517345848778	8.45407770778485	879.768246475621	4.74617484324532e-23	9.71604235328294e-21
Zm00001eb376040	-1.64425101622971	6.01978309057787	871.762887515433	5.38833826631686e-23	1.09409551383141e-20
Zm00001eb026530	-4.28260528780563	3.44591565214346	868.924579882144	5.63783568537138e-23	1.13552376001734e-20
Zm00001eb318020	-1.42552914656403	6.87820445939075	867.585005337978	5.75985660015159e-23	1.15081934871029e-20
Zm00001eb119130	-2.30857003875903	6.01699281300925	864.265423370354	6.07457832971497e-23	1.20406820463993e-20
